id,character,created_at,updated_at,jlpt,grade,kanjimap_url,kanjigraph_url,meanings,cluster,learned
40,料,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n3,e4,thekanjimap.com/料,japanesegraph.com/料,"[""fee/material""]",money_business,false
41,綿,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n2,e5,thekanjimap.com/綿,japanesegraph.com/綿,"[""cotton""]",clothing,false
42,色,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/色,japanesegraph.com/色,"[""color""]",color,false
43,違,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:54:15.664488+00:00,n3,j1,thekanjimap.com/違,japanesegraph.com/違,"[""differ""]",,false
44,会,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n5,e2,thekanjimap.com/会,japanesegraph.com/会,"[""meet/association""]",,false
45,計,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n4,e2,thekanjimap.com/計,japanesegraph.com/計,"[""plan/count""]",quantity_degree,false
46,充,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:54:15.664488+00:00,n1,s1,thekanjimap.com/充,japanesegraph.com/充,"[""fill/charge""]",,false
47,器,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n2,e4,thekanjimap.com/器,japanesegraph.com/器,"[""container/device""]",tool_object,false
48,保,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e5,thekanjimap.com/保,japanesegraph.com/保,"[""protect/guarantee""]",,false
49,証,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e5,thekanjimap.com/証,japanesegraph.com/証,"[""proof""]",,false
50,展,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n2,e6,thekanjimap.com/展,japanesegraph.com/展,"[""display/expand""]",,false
51,示,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e5,thekanjimap.com/示,japanesegraph.com/示,"[""show""]",,false
52,切,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n5,e2,thekanjimap.com/切,japanesegraph.com/切,"[""cut/sever""]",,false
53,修,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e5,thekanjimap.com/修,japanesegraph.com/修,"[""repair/study""]",,false
54,理,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n4,e2,thekanjimap.com/理,japanesegraph.com/理,"[""reason/logic""]",,false
55,新,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n5,e2,thekanjimap.com/新,japanesegraph.com/新,"[""new""]",,false
56,中,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/中,japanesegraph.com/中,"[""middle/inside""]",direction_position,false
57,古,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n5,e2,thekanjimap.com/古,japanesegraph.com/古,"[""old""]",,false
58,取,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n4,e3,thekanjimap.com/取,japanesegraph.com/取,"[""take""]",,false
59,扱,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:54:15.664488+00:00,n1,j1,thekanjimap.com/扱,japanesegraph.com/扱,"[""handle""]",,false
60,説,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n3,e4,thekanjimap.com/説,japanesegraph.com/説,"[""explain""]",communication,false
61,明,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n5,e2,thekanjimap.com/明,japanesegraph.com/明,"[""bright/clear""]",,false
62,池,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/池,japanesegraph.com/池,"[""pond/battery""]",nature,false
63,対,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e3,thekanjimap.com/対,japanesegraph.com/対,"[""opposite/versus""]",,false
64,応,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e5,thekanjimap.com/応,japanesegraph.com/応,"[""respond""]",,false
65,野,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/野,japanesegraph.com/野,"[""field/wild""]",nature,false
66,菜,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n3,e4,thekanjimap.com/菜,japanesegraph.com/菜,"[""vegetable""]",food,false
67,果,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n3,e4,thekanjimap.com/果,japanesegraph.com/果,"[""fruit/result""]",food,false
68,肉,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/肉,japanesegraph.com/肉,"[""meat/flesh""]",food,false
69,魚,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/魚,japanesegraph.com/魚,"[""fish""]",animal,false
70,冷,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n3,e4,thekanjimap.com/冷,japanesegraph.com/冷,"[""cold/freeze""]",weather,false
71,凍,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n2,j2,thekanjimap.com/凍,japanesegraph.com/凍,"[""freeze""]",weather,false
72,賞,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e4,thekanjimap.com/賞,japanesegraph.com/賞,"[""prize/taste""]",,false
73,味,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/味,japanesegraph.com/味,"[""taste/flavor""]",food,false
74,限,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n3,e5,thekanjimap.com/限,japanesegraph.com/限,"[""limit""]",quantity_degree,false
75,特,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e4,thekanjimap.com/特,japanesegraph.com/特,"[""special""]",,false
76,売,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/売,japanesegraph.com/売,"[""sell""]",money_business,false
77,国,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/国,japanesegraph.com/国,"[""country""]",geography_place,false
78,産,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e4,thekanjimap.com/産,japanesegraph.com/産,"[""produce/birth""]",,false
79,有,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n4,e3,thekanjimap.com/有,japanesegraph.com/有,"[""have/exist""]",,false
80,機,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n3,e4,thekanjimap.com/機,japanesegraph.com/機,"[""machine/opportunity""]",technology,false
81,豆,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/豆,japanesegraph.com/豆,"[""bean""]",food,false
82,腐,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n1,j1,thekanjimap.com/腐,japanesegraph.com/腐,"[""decay/tofu""]",food,false
83,散,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e4,thekanjimap.com/散,japanesegraph.com/散,"[""scatter/haircut""]",,false
84,髪,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n3,j1,thekanjimap.com/髪,japanesegraph.com/髪,"[""hair""]",body_part,false
85,予,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e3,thekanjimap.com/予,japanesegraph.com/予,"[""beforehand""]",,false
86,約,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e4,thekanjimap.com/約,japanesegraph.com/約,"[""promise/appointment""]",,false
87,整,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e3,thekanjimap.com/整,japanesegraph.com/整,"[""arrange""]",,false
88,髭,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,,,thekanjimap.com/髭,japanesegraph.com/髭,"[""beard/mustache""]",body_part,false
89,剃,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,,,thekanjimap.com/剃,japanesegraph.com/剃,"[""shave""]",body_health,false
90,前,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/前,japanesegraph.com/前,"[""front/before""]",direction_position,false
91,短,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/短,japanesegraph.com/短,"[""short""]",size_measure,false
92,仕,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n4,e3,thekanjimap.com/仕,japanesegraph.com/仕,"[""serve/work""]",work_occupation,false
93,上,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/上,japanesegraph.com/上,"[""above/up""]",direction_position,false
94,洗,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n4,e6,thekanjimap.com/洗,japanesegraph.com/洗,"[""wash""]",body_health,false
95,眉,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n1,s2,thekanjimap.com/眉,japanesegraph.com/眉,"[""eyebrow""]",body_part,false
96,毛,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n4,e2,thekanjimap.com/毛,japanesegraph.com/毛,"[""hair/fur""]",body_part,false
97,注,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n4,e3,thekanjimap.com/注,japanesegraph.com/注,"[""pour/order""]",,false
98,文,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n4,e1,thekanjimap.com/文,japanesegraph.com/文,"[""sentence/writing""]",education,false
99,食,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n5,e2,thekanjimap.com/食,japanesegraph.com/食,"[""eat/food""]",food,false
100,満,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e4,thekanjimap.com/満,japanesegraph.com/満,"[""full/satisfied""]",,false
101,持,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n5,e3,thekanjimap.com/持,japanesegraph.com/持,"[""hold/carry""]",,false
102,帰,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n5,e2,thekanjimap.com/帰,japanesegraph.com/帰,"[""return home""]",,false
103,辛,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n2,j2,thekanjimap.com/辛,japanesegraph.com/辛,"[""spicy/hard""]",food,false
104,禁,2026-06-28T05:52:44.16983+00:00,2026-07-16T14:49:15.924881+00:00,n3,e5,thekanjimap.com/禁,japanesegraph.com/禁,"[""forbid""]",government_law,false
105,煙,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:54:15.664488+00:00,n3,j1,thekanjimap.com/煙,japanesegraph.com/煙,"[""smoke""]",,false
106,放,2026-06-28T05:52:44.16983+00:00,2026-07-11T14:37:15.540058+00:00,n3,e3,thekanjimap.com/放,japanesegraph.com/放,"[""release""]",,false
107,題,2026-06-28T05:52:44.16983+00:00,2026-07-13T23:15:38.60052+00:00,n3,e3,thekanjimap.com/題,japanesegraph.com/題,"[""topic""]",education,false
108,名,2026-07-11T13:06:03.678205+00:00,2026-07-11T13:06:03.678205+00:00,n4,e1,thekanjimap.com/名,japanesegraph.com/名,"[""name"", ""reputation"", ""fame"", ""notable person""]",,false
109,大,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/大,japanesegraph.com/大,"[""big, large, great"", ""important"", ""major"", ""heavy""]",size_measure,false
110,小,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/小,japanesegraph.com/小,"[""small, little, minor"", ""few"", ""low (voice)"", ""young""]",size_measure,false
111,手,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/手,japanesegraph.com/手,"[""hand, arm"", ""handle"", ""means"", ""way""]",body_part,false
112,早,2026-07-11T13:06:03.678205+00:00,2026-07-16T14:49:15.924881+00:00,n5,e1,thekanjimap.com/早,japanesegraph.com/早,"[""early, fast, quick"", ""soon"", ""premature""]",time_date,false
113,本,2026-07-11T13:06:03.678205+00:00,2026-07-16T14:49:15.924881+00:00,n5,e1,thekanjimap.com/本,japanesegraph.com/本,"[""book"", ""root"", ""origin"", ""true"", ""main""]",education,false
114,正,2026-07-11T13:06:03.678205+00:00,2026-07-11T13:06:03.678205+00:00,n4,e1,thekanjimap.com/正,japanesegraph.com/正,"[""correct, right, proper"", ""just"", ""honest"", ""formal""]",,false
115,白,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/白,japanesegraph.com/白,"[""white"", ""blank"", ""pure"", ""innocent""]",color,false
116,赤,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/赤,japanesegraph.com/赤,"[""red"", ""crimson"", ""communist (slang)"", ""bare"", ""empty""]",color,false
117,青,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/青,japanesegraph.com/青,"[""blue, green (for traffic lights, plants)"", ""pale"", ""unripe"", ""inexperienced""]",color,false
118,人,2026-07-11T13:06:03.678205+00:00,2026-07-11T13:06:03.678205+00:00,n5,e1,thekanjimap.com/人,japanesegraph.com/人,"[""person, people, human"", ""others"", ""somebody""]",,false
119,先,2026-07-11T13:06:03.678205+00:00,2026-07-16T14:49:15.924881+00:00,n5,e1,thekanjimap.com/先,japanesegraph.com/先,"[""previous, former, ahead"", ""tip"", ""destination"", ""future""]",direction_position,false
120,円,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/円,japanesegraph.com/円,"[""yen (currency), circle"", ""round"", ""circular""]",money_business,false
121,力,2026-07-11T13:06:03.678205+00:00,2026-07-11T13:06:03.678205+00:00,n4,e1,thekanjimap.com/力,japanesegraph.com/力,"[""power, strength, force"", ""ability"", ""effort"", ""capability""]",,false
122,右,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/右,japanesegraph.com/右,"[""right (direction)"", ""right-hand side""]",direction_position,false
123,土,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/土,japanesegraph.com/土,"[""earth, soil, ground"", ""Saturday (土曜日)"", ""land""]",nature,false
124,夕,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n4,e1,thekanjimap.com/夕,japanesegraph.com/夕,"[""evening, dusk, twilight"", ""night""]",time_date,false
125,天,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n4,e1,thekanjimap.com/天,japanesegraph.com/天,"[""sky, heaven"", ""god"", ""celestial"", ""natural""]",nature,false
126,女,2026-07-11T13:06:03.678205+00:00,2026-07-11T13:06:03.678205+00:00,n5,e1,thekanjimap.com/女,japanesegraph.com/女,"[""woman, female"", ""feminine"", ""womanly""]",,false
127,子,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/子,japanesegraph.com/子,"[""child"", ""offspring"", ""young (of an animal)"", ""small""]",family,false
128,字,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/字,japanesegraph.com/字,"[""character, letter, writing"", ""handwriting""]",education,false
129,川,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/川,japanesegraph.com/川,"[""river, stream"", ""brook""]",nature,false
130,左,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/左,japanesegraph.com/左,"[""left (direction)"", ""left-hand side""]",direction_position,false
131,年,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/年,japanesegraph.com/年,"[""year"", ""age"", ""years (of age)""]",time_date,false
132,日,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/日,japanesegraph.com/日,"[""sun, day"", ""Japan"", ""Sunday""]",time_date,false
133,月,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/月,japanesegraph.com/月,"[""moon, month"", ""Monday (月曜日)""]",time_date,false
134,木,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/木,japanesegraph.com/木,"[""tree, wood"", ""Thursday (木曜日)"", ""timber""]",plant,false
135,村,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n4,e1,thekanjimap.com/村,japanesegraph.com/村,"[""village, rural community"", ""hamlet""]",geography_place,false
136,林,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n3,e1,thekanjimap.com/林,japanesegraph.com/林,"[""grove, forest, woods"", ""thicket"", ""copse""]",plant,false
137,校,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/校,japanesegraph.com/校,"[""school"", ""campus"", ""educational institution""]",building_place,false
138,森,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n3,e1,thekanjimap.com/森,japanesegraph.com/森,"[""forest, woods"", ""dense grove of trees""]",plant,false
139,気,2026-07-11T13:06:03.678205+00:00,2026-07-16T14:49:15.924881+00:00,n5,e1,thekanjimap.com/気,japanesegraph.com/気,"[""spirit, mind, energy"", ""feeling"", ""air"", ""atmosphere""]",emotion,false
140,水,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/水,japanesegraph.com/水,"[""water"", ""Wednesday (水曜日)"", ""liquid""]",nature,false
141,火,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/火,japanesegraph.com/火,"[""fire, flame"", ""Tuesday (火曜日)""]",nature,false
142,犬,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/犬,japanesegraph.com/犬,"[""dog"", ""spy (archaic)""]",animal,false
143,玉,2026-07-11T13:06:03.678205+00:00,2026-07-16T14:49:15.924881+00:00,n2,e1,thekanjimap.com/玉,japanesegraph.com/玉,"[""ball, sphere, jewel"", ""precious thing"", ""coin""]",tool_object,false
144,王,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n3,e1,thekanjimap.com/王,japanesegraph.com/王,"[""king"", ""ruler"", ""monarch""]",government_law,false
145,田,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n4,e1,thekanjimap.com/田,japanesegraph.com/田,"[""rice field, paddy"", ""rice paddy"", ""rice-growing area""]",nature,false
146,男,2026-07-11T13:06:03.678205+00:00,2026-07-11T13:06:03.678205+00:00,n5,e1,thekanjimap.com/男,japanesegraph.com/男,"[""man, male"", ""masculine"", ""manly""]",,false
147,町,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n4,e1,thekanjimap.com/町,japanesegraph.com/町,"[""town, neighborhood, block"", ""city district"", ""downtown""]",geography_place,false
148,百,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/百,japanesegraph.com/百,"[""hundred"", ""many"", ""numerous""]",number,false
149,目,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/目,japanesegraph.com/目,"[""eye"", ""-th (ordinal suffix)"", ""sight"", ""attention""]",body_part,false
150,石,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n3,e1,thekanjimap.com/石,japanesegraph.com/石,"[""stone, rock"", ""gem""]",nature,false
151,空,2026-07-11T13:06:03.678205+00:00,2026-07-13T23:15:38.60052+00:00,n5,e1,thekanjimap.com/空,japanesegraph.com/空,"[""sky, air"", ""empty"", ""vacant"", ""blank""]",nature,false
